x ||x||
-1 1
-2 2
1 2
-3 3
2 3
0 3
-4 4
3 4
4 4
-5 5
6 5
-6 6
5 6
8 6
-8 6
9 6
-7 7
7 7
-9 7
10 7
-12 7
12 7
-10 8
-13 8
11 8
-16 8
16 8
-18 8
15 8
-11 9
-14 9
13 9
-17 9
-19 9
18 9
14 9
-15 9
-20 9
24 9
-24 9
-27 9
20 9
17 10
19 10
-21 10
23 10
-25 10
-28 10
27 10
26 10
-22 10
32 10
-32 10
36 10
-30 10
21 10
-36 10
25 10
22 11
-23 11
-26 11
-29 11
28 11
31 11
-33 11
35 11
-31 11
30 11
-37 11
34 11
38 11
40 11
-48 11
48 11
54 11
-40 11
39 11
-45 11
29 12
-34 12
33 12
-35 12
-38 12
37 12
-49 12
47 12
53 12
-54 12
-41 12
-39 12
-46 12
45 12
42 12
50 12
56 12
-52 12
44 12
-64 12
64 12
-72 12
60 12
-42 12
72 12
-50 12
51 12
57 12
81 12
-60 12
52 12
-44 12
49 13
46 13
-47 13
-53 13
-55 13
41 13
55 13
-56 13
43 13
-65 13
63 13
-73 13
59 13
-43 13
71 13
-51 13
-57 13
80 13
-81 13
-61 13
58 13
-62 13
66 13
-70 13
62 13
74 13
-68 13
-76 13
-80 13
96 13
-96 13
-108 13
-78 13
90 13
-69 13
75 13
84 13
-63 13
108 13
-75 13
68 13
76 13
65 13
-66 14
-74 14
73 14
-59 14
70 14
-71 14
-58 14
79 14
-82 14
61 14
-77 14
95 14
-97 14
-109 14
-79 14
78 14
89 14
-90 14
69 14
83 14
-84 14
107 14
67 14
98 14
-94 14
-106 14
82 14
92 14
-100 14
-112 14
104 14
-88 14
128 14
-128 14
144 14
-120 14
-144 14
100 14
-102 14
-114 14
-162 14
120 14
-104 14
88 14
87 14
-93 14
99 14
-105 14
93 14
111 14
-117 14
135 14
-92 14
112 14
85 14
-67 15
-83 15
77 15
94 15
-95 15
-98 15
97 15
-110 15
109 15
-89 15
-91 15
-85 15
106 15
-107 15
91 15
-101 15
-113 15
103 15
127 15
-129 15
143 15
-121 15
-145 15
-103 15
102 15
-115 15
114 15
-163 15
162 15
119 15
86 15
-87 15
-99 15
105 15
110 15
-111 15
-118 15
117 15
134 15
-135 15
-86 15
130 15
-126 15
146 15
-142 15
-160 15
122 15
-116 15
124 15
-132 15
140 15
-124 15
-148 15
136 15
152 15
160 15
-192 15
192 15
216 15
156 15
-180 15
138 15
-150 15
-168 15
126 15
-216 15
150 15
-136 15
-152 15
-130 15
147 15
-141 15
-159 15
123 15
-153 15
-171 15
-243 15
180 15
-156 15
132 15
116 15
-140 15
148 15
125 15
-125 15
101 16
113 16
-127 16
129 16
142 16
-143 16
-122 16
121 16
-146 16
145 16
115 16
-164 16
163 16
161 16
118 16
-119 16
133 16
-134 16
-161 16
-133 16
139 16
-149 16
151 16
159 16
-193 16
191 16
215 16
155 16
-181 16
137 16
-138 16
-151 16
-169 16
168 16
-217 16
149 16
-137 16
-131 16
-147 16
141 16
-123 16
-154 16
153 16
-172 16
171 16
-244 16
243 16
179 16
-157 16
131 16
-158 16
164 16
154 16
-190 16
194 16
218 16
158 16
-178 16
-166 16
-214 16
-196 16
188 16
212 16
-184 16
200 16
224 16
-208 16
176 16
-256 16
256 16
-288 16
240 16
288 16
-200 16
204 16
228 16
324 16
-240 16
208 16
-176 16
-174 16
186 16
-198 16
210 16
-186 16
-222 16
234 16
-270 16
184 16
-224 16
-170 16
165 16
-165 16
195 16
-189 16
219 16
-177 16
-213 16
183 16
207 16
-225 16
-252 16
189 16
-324 16
225 16
-204 16
-228 16
-195 16
196 16
-188 16
-212 16
-155 16
-175 16
185 16
169 16
-139 17
-194 17
193 17
190 17
-191 17
214 17
-215 17
-182 17
181 17
167 17
-218 17
217 17
-173 17
172 17
170 17
-245 17
244 17
242 17
178 17
-179 17
157 17
-167 17
166 17
-197 17
187 17
211 17
-185 17
199 17
223 17
-209 17
175 17
-257 17
255 17
-289 17
239 17
287 17
-201 17
203 17
227 17
323 17
-241 17
174 17
-199 17
198 17
209 17
-210 17
-187 17
-223 17
222 17
233 17
-234 17
-271 17
270 17
-219 17
177 17
213 17
182 17
-183 17
206 17
-207 17
-226 17
-253 17
252 17
-325 17
-205 17
-229 17
220 17
202 17
226 17
-206 17
-254 17
258 17
-286 17
290 17
230 17
326 17
-238 17
-220 17
236 17
-268 17
-260 17
-292 17
284 17
320 17
232 17
-248 17
264 17
-280 17
248 17
296 17
-272 17
-304 17
-320 17
384 17
