x ||x||
1 4
2 5
3 6
4 6
6 7
8 7
5 8
7 8
9 8
12 8
16 8
10 9
11 9
18 9
14 9
24 9
15 10
17 10
20 10
27 10
22 10
32 10
36 10
21 10
19 11
13 11
23 11
26 11
30 11
34 11
40 11
28 11
48 11
54 11
33 11
25 12
29 12
31 12
35 12
45 12
38 12
46 12
52 12
60 12
64 12
42 12
72 12
51 12
81 12
44 12
39 13
47 13
50 13
58 13
62 13
70 13
56 13
80 13
90 13
96 13
53 13
57 13
69 13
78 13
63 13
108 13
68 13
55 13
43 14
41 14
49 14
59 14
75 14
37 14
88 14
94 14
84 14
100 14
66 14
120 14
128 14
71 14
87 14
93 14
105 14
135 14
144 14
76 14
92 14
104 14
85 14
74 15
79 15
65 15
86 15
82 15
98 15
106 15
118 15
126 15
112 15
102 15
150 15
160 15
61 15
89 15
95 15
77 15
107 15
67 15
117 15
132 15
141 15
99 15
162 15
180 15
192 15
116 15
124 15
140 15
115 15
130 15
73 16
127 16
83 16
125 16
110 16
142 16
148 16
158 16
136 16
256 16
114 16
168 16
200 16
119 16
134 16
143 16
91 16
103 16
129 16
138 16
123 16
147 16
159 16
177 16
189 16
153 16
216 16
225 16
111 16
156 16
240 16
176 16
188 16
145 16
155 16
175 16
97 17
109 17
146 17
131 17
191 17
101 17
196 17
288 17
198 17
122 17
190 17
254 17
166 17
178 17
152 17
264 17
224 17
384 17
204 17
210 17
170 17
250 17
149 17
161 17
179 17
139 17
174 17
186 17
165 17
213 17
222 17
237 17
171 17
252 17
270 17
300 17
195 17
133 17
172 17
184 17
164 17
212 17
236 17
208 17
320 17
220 17
235 17
182 17
