x ||x||
1 1
2 2
3 3
4 4
5 5
6 5
7 6
8 6
9 6
10 7
12 7
11 8
13 8
14 8
16 8
18 8
15 8
17 9
19 9
20 9
24 9
21 9
27 9
25 10
22 10
28 10
26 10
32 10
36 10
30 10
23 11
29 11
33 11
37 11
31 11
34 11
38 11
40 11
48 11
42 11
54 11
39 11
45 11
35 11
41 12
49 12
43 12
55 12
46 12
50 12
44 12
56 12
52 12
64 12
72 12
60 12
51 12
57 12
63 12
81 12
47 13
53 13
65 13
73 13
61 13
58 13
82 13
66 13
74 13
62 13
68 13
76 13
80 13
96 13
84 13
108 13
78 13
90 13
70 13
75 13
59 14
83 14
67 14
69 14
77 14
97 14
85 14
109 14
79 14
91 14
71 14
98 14
86 14
110 14
92 14
100 14
88 14
112 14
104 14
128 14
144 14
120 14
102 14
114 14
126 14
162 14
87 14
99 14
111 14
93 14
117 14
135 14
105 14
95 14
101 15
89 15
113 15
129 15
145 15
121 15
103 15
115 15
127 15
163 15
94 15
118 15
136 15
106 15
130 15
146 15
122 15
116 15
164 15
132 15
148 15
124 15
152 15
160 15
192 15
168 15
216 15
156 15
180 15
140 15
150 15
123 15
147 15
165 15
138 15
153 15
171 15
189 15
243 15
125 15
119 15
133 15
137 16
107 16
131 16
149 16
161 16
193 16
169 16
217 16
157 16
181 16
141 16
151 16
166 16
139 16
154 16
172 16
190 16
244 16
134 16
194 16
170 16
218 16
158 16
182 16
142 16
196 16
220 16
184 16
200 16
176 16
224 16
208 16
256 16
288 16
240 16
204 16
228 16
252 16
324 16
174 16
198 16
222 16
186 16
234 16
270 16
210 16
159 16
195 16
219 16
183 16
246 16
225 16
185 16
155 16
175 16
143 16
167 17
173 17
191 17
245 17
197 17
221 17
201 17
177 17
209 17
257 17
289 17
241 17
205 17
229 17
253 17
325 17
199 17
223 17
187 17
235 17
271 17
211 17
247 17
226 17
202 17
178 17
258 17
290 17
242 17
206 17
230 17
254 17
326 17
188 17
236 17
272 17
212 17
260 17
292 17
232 17
328 17
264 17
296 17
248 17
304 17
320 17
384 17
336 17
432 17
312 17
360 17
280 17
300 17
294 17
330 17
276 17
306 17
342 17
378 17
486 17
250 17
238 17
266 17
249 17
207 17
231 17
291 17
255 17
327 17
237 17
273 17
213 17
261 17
297 17
333 17
279 17
351 17
405 17
315 17
285 17
215 17
275 17
203 17
259 17
227 18
179 18
293 18
233 18
329 18
265 18
305 18
321 18
385 18
337 18
433 18
313 18
361 18
281 18
301 18
295 18
331 18
277 18
307 18
343 18
379 18
487 18
251 18
239 18
267 18
274 18
214 18
262 18
298 18
334 18
352 18
406 18
316 18
286 18
322 18
386 18
338 18
434 18
314 18
362 18
282 18
302 18
332 18
278 18
308 18
344 18
380 18
488 18
268 18
388 18
340 18
436 18
364 18
284 18
392 18
440 18
368 18
400 18
448 18
416 18
512 18
576 18
480 18
408 18
456 18
504 18
648 18
348 18
396 18
444 18
372 18
468 18
540 18
420 18
318 18
390 18
438 18
366 18
492 18
450 18
370 18
310 18
350 18
303 18
339 18
387 18
435 18
363 18
309 18
345 18
381 18
489 18
354 18
369 18
441 18
495 18
414 18
459 18
513 18
567 18
729 18
375 18
357 18
399 18
365 18
410 18
287 18
323 18
263 19
299 19
335 19
353 19
407 19
317 19
283 19
269 19
389 19
341 19
437 19
393 19
401 19
449 19
417 19
577 19
481 19
409 19
457 19
505 19
649 19
349 19
397 19
445 19
373 19
469 19
541 19
421 19
319 19
391 19
439 19
367 19
493 19
451 19
371 19
311 19
346 19
382 19
490 19
355 19
442 19
496 19
415 19
460 19
514 19
568 19
730 19
376 19
358 19
411 19
394 19
402 19
418 19
578 19
482 19
458 19
506 19
650 19
398 19
446 19
374 19
470 19
542 19
422 19
494 19
452 19
404 19
356 19
516 19
580 19
484 19
412 19
508 19
652 19
472 19
544 19
424 19
520 19
584 19
464 19
656 19
528 19
592 19
608 19
640 19
768 19
672 19
864 19
624 19
720 19
560 19
600 19
588 19
660 19
552 19
612 19
684 19
756 19
972 19
500 19
476 19
532 19
498 19
462 19
582 19
510 19
654 19
474 19
546 19
426 19
522 19
594 19
666 19
558 19
702 19
810 19
630 19
570 19
430 19
550 19
518 19
447 19
483 19
579 19
507 19
651 19
471 19
543 19
423 19
453 19
732 19
477 19
585 19
657 19
549 19
738 19
675 19
555 19
465 19
525 19
429 19
485 19
425 19
545 19
395 19
455 19
475 19
511 19
427 19
574 19
377 19
403 19
347 20
383 20
491 20
443 20
497 20
461 20
515 20
569 20
